trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
86,False,"{'a': 0.5, 'e': 0.6524374681640519}",20,0,-122.49131429700387,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
87,False,"{'a': 0.5, 'e': 0.64482654724000121}",20,12,4.035783328036297,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.63715114419858021}",20,0,-17.56219099516035,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
89,False,"{'a': 0.5, 'e': 0.62941202657369688}",25,15,-9.149510252332922,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.62160996827066439}",30,0,-101.97526711464857,"{0: 21, 1: 4, 2: 3, 3: 0, 4: 2}",0
91,False,"{'a': 0.5, 'e': 0.61374574948881155}",20,8,-44.162308560438795,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
92,False,"{'a': 0.5, 'e': 0.60582015664346278}",25,0,-65.78160327495222,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
93,False,"{'a': 0.5, 'e': 0.59783398228729823}",25,2,-51.45703944582408,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 1}",1
94,False,"{'a': 0.5, 'e': 0.58978802503109817}",25,11,-27.08291364448327,"{0: 10, 1: 2, 2: 1, 3: 1, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.58168308946388347}",20,0,-63.035707396891425,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
96,False,"{'a': 0.5, 'e': 0.57351998607245669}",30,12,-108.78700192535995,"{0: 10, 1: 0, 2: 6, 3: 1, 4: 1}",1
97,False,"{'a': 0.5, 'e': 0.56529953116035436}",25,11,13.324002712883416,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.55702254676621732}",35,26,4.01470639620289,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.54868986058158753}",30,11,-76.49254021676576,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 2}",1
100,False,"{'a': 0.5, 'e': 0.54030230586813977}",30,0,-64.35838743341557,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
101,False,"{'a': 0.5, 'e': 0.53186072137435547}",20,0,-50.46881743734746,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
102,False,"{'a': 0.5, 'e': 0.52336595125164953}",20,0,-37.377314401394955,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
103,False,"{'a': 0.5, 'e': 0.51481884496995534}",20,0,-44.87958926841309,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
104,False,"{'a': 0.5, 'e': 0.50622025723277841}",20,10,-59.10279982344503,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 1}",1
105,False,"{'a': 0.5, 'e': 0.49757104789172696}",20,0,-85.25873185655746,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
106,False,"{'a': 0.5, 'e': 0.4888720818605275}",25,17,-7.577942527757652,"{0: 5, 1: 2, 2: 1, 3: 0, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.48012422902853408}",25,5,-83.5743478810526,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",1
108,False,"{'a': 0.5, 'e': 0.47132836417373997}",20,16,8.777867679419373,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.46248536687530079}",35,10,-24.234218838009955,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.45359612142557731}",25,11,13.461807733340216,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.44466151674170679}",30,0,-99.5135711169835,"{0: 24, 1: 0, 2: 3, 3: 1, 4: 2}",0
112,False,"{'a': 0.5, 'e': 0.4356824462767121}",25,1,42.0496647919342,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
